,dish_type,price,star,comment_num,location
661,江浙菜,71,4,452,嘉定区
662,江浙菜,121,3,487,浦东新区
663,江浙菜,212,4,0,长宁区
664,江浙菜,14,5,439,奉贤区
665,江浙菜,87,4,622,浦东新区
666,江浙菜,175,4,544,黄浦区
667,江浙菜,44,4,876,其他区
668,江浙菜,124,5,357,浦东新区
669,江浙菜,57,4,555,浦东新区
670,江浙菜,57,4,1098,闵行区
671,江浙菜,320,5,195,浦东新区
672,江浙菜,83,4,719,浦东新区
673,江浙菜,91,4,250,浦东新区
674,江浙菜,122,4,242,黄浦区
675,日本料理,345,5,0,静安区
676,日本料理,164,5,288,松江区
677,日本料理,97,4,598,嘉定区
678,日本料理,111,5,273,黄浦区
679,日本料理,73,5,153,普陀区
680,日本料理,240,5,143,闵行区
681,日本料理,138,4,16,徐汇区
682,日本料理,67,4,133,徐汇区
683,日本料理,63,5,722,长宁区
684,日本料理,103,4,18,黄浦区
