,dish_type,restaurant_name,price,star,comment_num,location
256,聚餐宴请,正院上海公馆（1885广场店）,412,4,66,浦东新区
257,聚餐宴请,众和小菜（长兴岛店）,45,4,60,其他区
258,聚餐宴请,天都里拉大酒店,77,3,262,金山区
259,聚餐宴请,老房子酒家,74,5,160,浦东新区
260,聚餐宴请,淮扬味道,74,4,222,静安区
261,聚餐宴请,小神鲜餐厅（娄山关路店）,94,4,63,长宁区
262,聚餐宴请,嘉宴食府,33,4,135,嘉定区
263,聚餐宴请,KaoLa花园咖啡屋&生日餐厅,119,4,102,浦东新区
264,聚餐宴请,滨江欣景大酒店餐厅,117,4,95,黄浦区
265,聚餐宴请,丰收日（吾悦广场店）,127,3,109,青浦区
266,聚餐宴请,天禧大酒楼（七宝店）,111,4,333,闵行区
267,聚餐宴请,斐生大酒店（上南路店）,91,4,351,浦东新区
268,聚餐宴请,邢记老字号崇明糕,35,5,50,其他区
269,聚餐宴请,闻道园进士第孚然主题餐厅,90,4,50,宝山区
270,聚餐宴请,狼来了碳烤羊腿（安波路店）,108,4,321,杨浦区
271,聚餐宴请,汇尊时尚中式餐厅（华漕路店）,65,4,592,闵行区
272,聚餐宴请,衡山小馆（衡山路店）,96,4,245,徐汇区
273,聚餐宴请,紫荆阁.鲁菜海鲜（东方路店）,176,4,422,浦东新区
274,聚餐宴请,晶会轩（浦东店）,118,4,129,浦东新区
275,聚餐宴请,美龄菜谱（环球港店）,102,4,100,普陀区
276,聚餐宴请,喜来登盛宴标帜餐厅,161,3,253,嘉定区
277,聚餐宴请,麦盛莉（徐汇店）,66,4,174,徐汇区
278,聚餐宴请,圆苑（梅龙镇广场店）,158,4,199,静安区
279,聚餐宴请,天禧大酒楼（东川路店）,102,4,343,闵行区
280,聚餐宴请,新港湾海鲜酒楼,85,5,176,嘉定区
281,聚餐宴请,金湘缘,71,4,169,浦东新区
282,聚餐宴请,老吉士（上海商城店）,127,4,110,静安区
283,聚餐宴请,和美酒家,55,4,299,宝山区
284,聚餐宴请,农家湘味酒楼,63,4,97,松江区
285,江浙菜,思泊湖中餐（邵记美食城店）,63,4,1,浦东新区
286,江浙菜,红枫林农家乐,83,4,21,青浦区
287,江浙菜,乐阳春,57,4,11,黄浦区
288,江浙菜,共富海鲜大酒店（共富路店）,121,4,2,宝山区
289,江浙菜,星程怡东大酒店,111,4,27,浦东新区
290,江浙菜,汇膳阁,23,4,8,虹口区
291,江浙菜,枚青·红楼小宴（月亮湾店）,98,4,3,虹口区
292,江浙菜,好灶头,57,5,50,金山区
293,江浙菜,有间厨房,40,3,1,金山区
294,江浙菜,蟹榭（长风大悦城商场店）,165,4,28,普陀区
295,江浙菜,香喷喷美味馆,24,3,46,黄浦区
296,江浙菜,剑虹饭店,58,4,33,闵行区
297,江浙菜,隐石佳创意菜,90,4,9,青浦区
298,江浙菜,大海小鲜（奉浦店）,93,5,1274,奉贤区
299,江浙菜,洪兴餐馆,33,4,12,黄浦区
300,日本料理,多番漫怡精食（新大陆广场店）,173,4,171,浦东新区
301,日本料理,多伦多海鲜自助餐厅（江桥万达店）,99,5,24981,嘉定区
302,日本料理,牛New寿喜烧（徐汇店）,105,5,4137,徐汇区
303,日本料理,多番漫怡精食（金桥国际广场店）,245,5,279,浦东新区
